heap;time;data;algo
Binary;5;increasing;insert_10k
Pairing;7;increasing;insert_10k
Binomial;13;increasing;insert_10k
Leftist;24;increasing;insert_10k
Skew;11;increasing;insert_10k
Binary;6;random;insert_10k
Pairing;3;random;insert_10k
Binomial;12;random;insert_10k
Leftist;24;random;insert_10k
Skew;16;random;insert_10k
Binary;9;decreasing;insert_10k
Pairing;6;decreasing;insert_10k
Binomial;13;decreasing;insert_10k
Leftist;11;decreasing;insert_10k
Skew;9;decreasing;insert_10k
Binary;82;increasing;insert_1mil
Pairing;64;increasing;insert_1mil
Binomial;1914;increasing;insert_1mil
Leftist;2081;increasing;insert_1mil
Skew;2365;increasing;insert_1mil
Binary;116;random;insert_1mil
Pairing;74;random;insert_1mil
Binomial;1981;random;insert_1mil
Leftist;1870;random;insert_1mil
Skew;2582;random;insert_1mil
Binary;192;decreasing;insert_1mil
Pairing;79;decreasing;insert_1mil
Binomial;1853;decreasing;insert_1mil
Leftist;1852;decreasing;insert_1mil
Skew;2101;decreasing;insert_1mil
Binary;76;increasing;remove_min_10k
Pairing;54;increasing;remove_min_10k
Binomial;76;increasing;remove_min_10k
Leftist;48;increasing;remove_min_10k
Skew;46;increasing;remove_min_10k
Binary;42;random;remove_min_10k
Pairing;60;random;remove_min_10k
Binomial;91;random;remove_min_10k
Leftist;45;random;remove_min_10k
Skew;44;random;remove_min_10k
Binary;30;decreasing;remove_min_10k
Pairing;30;decreasing;remove_min_10k
Binomial;46;decreasing;remove_min_10k
Leftist;34;decreasing;remove_min_10k
Skew;38;decreasing;remove_min_10k
Binary;118661;increasing;remove_min_10mil
Pairing;153012;increasing;remove_min_10mil
Binomial;116006;increasing;remove_min_10mil
Leftist;120440;increasing;remove_min_10mil
Skew;118230;increasing;remove_min_10mil
Binary;129282;random;remove_min_10mil
Pairing;157662;random;remove_min_10mil
Binomial;127807;random;remove_min_10mil
Leftist;117388;random;remove_min_10mil
Skew;113854;random;remove_min_10mil
Binary;121775;decreasing;remove_min_10mil
Pairing;126170;decreasing;remove_min_10mil
Binomial;121393;decreasing;remove_min_10mil
Leftist;120376;decreasing;remove_min_10mil
Skew;118144;decreasing;remove_min_10mil
Binary;33;random;random_10k
Pairing;57;random;random_10k
Binomial;133;random;random_10k
Leftist;425;random;random_10k
Skew;65;random;random_10k
Binary;89812;random;random_1mil
Pairing;95944;random;random_1mil
Binomial;111773;random;random_1mil
Leftist;92486;random;random_1mil
Skew;93390;random;random_1mil
